"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
3513850,10453.0441934,1330.13212569,1147.3398312499,24.8558806681,24.6111956316
3513900,27677.6614602,1569.9306067114,1296.6961402291,20.4675602426,20.3967508861
3514007,18173.9053249,1379.2428705122,1226.1623549919,22.9488064971,22.5503104276
3514106,76447.5888627,1445.0816462546,1393.9263286795,22.7251048551,21.9531816302
3514205,9166.49767434,1320.4710953237,1103.9500779647,24.8824902325,24.6660473108
3514304,24807.8184628,1434.1726369239,1372.7278303543,22.6926364235,22.0656569741
3514403,56535.2614007,1270.005470924,1258.6027745922,24.0919275167,23.8852403919
3514502,31568.4114245,1385.3363225715,1176.4209960743,22.5353749519,22.3737574358
3514601,13564.3517501,1495.2229919698,1331.7022481522,22.9747640931,22.5118945855
3514700,60805.4558036,1412.4846400489,1209.0643027066,22.6574820714,22.7418779275
3514809,198803.209296,1726.8217163086,2020.5489501953,20.111366272,20.6174945831
3514908,24668.8124957,1295.6038906104,1238.2003741951,21.8250388002,21.3123460663
3514924,11321.4098369,1406.9075927734,1077.1402587891,24.1159343719,23.7594985962
3514957,9943.35514955,1349.4863036825,1113.3386215223,24.099766015,23.7707383785
3515004,8562.96255854,1503.7784423828,1648.1276855469,21.5137634277,20.9338207245
3515103,18991.5582095,1662.5137939453,2091.0168457031,21.8157653809,20.9867420197
3515129,25980.5573068,1294.0725929161,1268.1550417984,23.9000906161,23.843268502
3515152,13473.0135048,1422.2792683122,1180.8532470733,22.2546246225,21.1576555346
3515186,48192.9599184,1522.9969039779,1281.7445476789,21.4584991948,20.3340723101
3515194,22956.7523962,1375.0570351827,1206.6885401487,22.1105990431,22.0383715528
3515202,34934.8184299,1336.426067016,1139.3796196172,24.8513114776,24.6090887414
3515301,30321.6381833,1378.7298558707,1359.4600348307,23.5743774933,23.4077898888
3515350,65504.893525,1372.0940077874,1428.0395204204,23.5503599302,23.0720611275
3515400,50840.6114509,1449.7966930087,1230.0438173368,21.5884457142,21.0792243205
3515509,65095.7095882,1341.5990397719,1128.1131808132,24.8533057937,24.6034631777
3515608,20620.4211787,1365.8537178325,1161.6115537849,23.7195192946,23.301344345
3515657,11917.496251,1427.7394079071,1210.7232851127,22.470467156,22.4631694959
3515707,3691.37545252,,,,
3515806,26238.4131405,1284.7645552641,1252.8586232265,24.0010336493,23.8683640757
3515905,24247.9641568,1345.8389239068,1031.8085717036,24.7568401486,24.5038547264
3516002,61179.9280729,1308.1868182446,1301.3500327366,24.1160713684,23.9264567435
3516101,26280.2457695,1394.9214350047,1203.056225554,22.2793273659,22.3479668017
3516200,74659.552941,1642.1797188727,1464.9802443839,22.4208762993,21.825158818
3516309,6077.66966501,1568.2131991462,1588.4957045239,21.3311438518,20.8928270717
3516408,16555.2005031,1563.2296799032,1556.8185885707,21.3594524961,20.8997286425
3516507,16214.0695785,1328.750272611,1250.6026911742,24.1331733669,23.9263104467
